id,name,yearsagobin,yearsago,yearextinct,yearextinctera,class,order,family,location,wikipedia,iucn-redlist,img,imgclass
Incilius periglenes,Golden Toad,0,30,1989,1989 CE,Amphibia,Anura,Bufonidae,Costa Rica,https://en.wikipedia.org/wiki/Golden_toad,https://www.iucnredlist.org/species/3172/9654595,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bufo_periglenes2.jpg/220px-Bufo_periglenes2.jpg,wide
Podilymbus gigas,Atitlán grebe,0,30,1989,1989 CE,Aves,Podicipediformes,Podicipedidae,Guatemala,https://en.wikipedia.org/wiki/Atitl%C3%A1n_grebe,,https://upload.wikimedia.org/wikipedia/en/3/33/Atitl%C3%A1n_Grebe.jpg,tall
Moho braccatus,Kauaʻi ʻōʻō,0,32,1987,1987 CE,Aves,Passeriformes,Mohoidae,Hawaii,https://en.wikipedia.org/wiki/Kaua%CA%BBi_%CA%BB%C5%8D%CA%BB%C5%8D,https://www.iucnredlist.org/species/22704323/93963628,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Moho_braccatus.jpg/220px-Moho_braccatus.jpg,tall
Rheobatrachus vitellinus,Northern Gastric-brooding Grog,0,34,1985,1985 CE,Amphibia,Anura,Myobatrachidae,Australia,https://en.wikipedia.org/wiki/Gastric-brooding_frog,https://www.iucnredlist.org/species/19476/8897826,https://environment.des.qld.gov.au/images/wildlife-ecosystems/Rheobatrachus_vitellinus.jpg,wide
Heliaster solaris,24-rayed Sunstar,0,35,1984,1984 CE,Asteroidea,Forcipulatida,Heliasteridae,Galapagos Islands,https://en.wikipedia.org/wiki/Heliaster_solaris,,https://photos.mongabay.com/j/heliaster_solaris.jpg,wide
Rheobatrachus silus,Southern Gastric-brooding Frog,0,38,1981,1981 CE,Amphibia,Anura,Myobatrachidae,Australia,https://en.wikipedia.org/wiki/Gastric-brooding_frog,https://www.iucnredlist.org/species/19475/8896430,https://upload.wikimedia.org/wikipedia/en/b/b2/Rheobatrachus_silus.jpg,wide
Cynops wolterstorffi,Yunnan lake newt,0,40,1979,1979 CE,Amphibia,Urodela,Salamandridae,China (Yunnan),https://en.wikipedia.org/wiki/Yunnan_lake_newt,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Cynops_wolterstorffi.JPG/220px-Cynops_wolterstorffi.JPG,wide
Taudactylus diurnus,Mount Glorious day frog,0,40,1979,1979 CE,Amphibia,Anura,Myobatrachidae,Australia - Queensland,https://en.wikipedia.org/wiki/Mount_Glorious_day_frog,,,
Panthera tigris sondaica,Javan Tiger,0,43,1976,1976 CE,Mammalia,Carnivora,Felidae,Java,https://en.wikipedia.org/wiki/Javan_tiger,https://www.iucnredlist.org/species/41681/10509194,https://upload.wikimedia.org/wikipedia/commons/6/6d/Panthera_tigris_sondaica_01.jpg,wide
Bolyeria multocarinata,Round Island burrowing boa,0,44,1975,1975 CE,Reptilia,Squamata,Bolyeriidae,Round Island,https://en.wikipedia.org/wiki/Round_Island_burrowing_boa,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Bolyeria_multocarinata.jpg/220px-Bolyeria_multocarinata.jpg,tall
