id,name,yearsagobin,yearsago,yearextinct,yearextinctera,class,order,family,location,wikipedia,iucn-redlist,img,imgclass
Oryzomys nelsoni,Nelson's rice rat,100,122,1897,1897 CE,Mammalia,Rodentia,Cricetidae,Islas Marías,https://en.wikipedia.org/wiki/Nelson%27s_rice_rat,,https://upload.wikimedia.org/wikipedia/commons/7/7d/Oryzomys_nelsoni_dorsal.png,tall
Notomys amplus,Short-tailed hopping mouse,100,123,1896,1896 CE,Mammalia,Rodentia,Muridae,"Australia, Great Sandy Desert",https://en.wikipedia.org/wiki/Short-tailed_hopping_mouse,,,
Oligoryzomys victus,St. Vincent pygmy rice rat,100,127,1892,1892 CE,Mammalia,Rodentia,Cricetidae,Saint Vincent,https://en.wikipedia.org/wiki/Oligoryzomys_victus,,,
Lagorchestes leporides,Eastern hare-wallaby,100,129,1890,1890 CE,Mammalia,Diprotodontia,Macropodidae,Australia,https://en.wikipedia.org/wiki/Eastern_hare-wallaby,https://www.iucnredlist.org/species/11163/21954274,https://upload.wikimedia.org/wikipedia/commons/1/13/Lagorchestes_leporides_Gould.jpg,wide
Canis lupus hattai,Hokkaido wolf,100,130,1889,1889 CE,Mammalia,Carnivora,Canidae,Japan,https://en.wikipedia.org/wiki/Hokkaido_wolf,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Yezo_wolf_at_Hokkaido_University.jpg,wide
Equus quagga quagga,Quagga,100,136,1883,1883 CE,Mammalia,Perissodactyla,Equidae,South Africa,https://en.wikipedia.org/wiki/Quagga,https://www.iucnredlist.org/species/7957/12876306,https://upload.wikimedia.org/wikipedia/commons/d/d2/Quagga_photo.jpg,wide
Megalomys luciae,St Lucy giant rice rat,100,138,1881,1881 CE,Mammalia,Rodentia,Cricetidae,Saint Lucia,https://en.wikipedia.org/wiki/Megalomys_luciae,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mus_Nat_Hist_Nat_25022013_Megalomys_luciae.jpg/300px-Mus_Nat_Hist_Nat_25022013_Megalomys_luciae.jpg,wide
Cervus canadensis canadensis,Eastern Elk,100,139,1880,1880 CE,Mammalia,Artiodactyla,Cervidae,North America,https://en.wikipedia.org/wiki/Eastern_elk,,https://upload.wikimedia.org/wikipedia/commons/9/96/Brooklyn_Museum_-_American_Elk_-_John_J._Audubon.jpg,wide
Ursus arctos crowtheri,Atlas bear,100,140,1879,1879 CE,Mammalia,Carnivora,Ursidae,North Africa,https://en.wikipedia.org/wiki/Atlas_bear,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Atlasbear.jpg,wide
Camptorhynchus labradorius,Labrador duck,100,141,1878,1878 CE,Aves,Anseriformes,Anatidae,Canada,https://en.wikipedia.org/wiki/Labrador_duck,https://www.iucnredlist.org/species/22680418/92862623,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Labrador_Ducks_AMNH.jpg/320px-Labrador_Ducks_AMNH.jpg,wide
Oryzomys antillarum,Jamaican rice rat,100,142,1877,1877 CE,Mammalia,Rodentia,Cricetidae,Jamaica,https://en.wikipedia.org/wiki/Jamaican_rice_rat,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Oryzomys_antillarum_Ray.png/130px-Oryzomys_antillarum_Ray.png,tall
Dusicyon australis,Falkland Islands wolf,100,143,1876,1876 CE,Mammalia,Carnivora,Canidae,Falkland Islands,https://en.wikipedia.org/wiki/Falkland_Islands_wolf,https://www.iucnredlist.org/species/6923/82310440,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Falkland_Island_wolf%2C_Dusicyon_australis_OMNZVT2369_%211pub_%28cropped%29.jpg/265px-Falkland_Island_wolf%2C_Dusicyon_australis_OMNZVT2369_%211pub_%28cropped%29.jpg,wide
Potorous platyops,Broad-faced potoroo,100,144,1875,1875 CE,Mammalia,Diprotodontia,Potoroidae,Australia,https://en.wikipedia.org/wiki/Broad-faced_potoroo,https://www.iucnredlist.org/species/18103/21960570,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Potorous_platyops_Natural_History_Museum_Pisa.jpg/320px-Potorous_platyops_Natural_History_Museum_Pisa.jpg,wide
Pteropus pilosus,Large Palau flying fox,100,145,1874,1874 CE,Mammalia,Chiroptera,Pteropodidae,Palau,https://en.wikipedia.org/wiki/Large_Palau_flying_fox,,,
Chlorostilbon bracei,Brace's emerald,100,149,1870,1870 CE,Aves,N/A,Trochilidae,Bahamas,https://en.wikipedia.org/wiki/Brace%27s_emerald,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Chlorostilbon_bracei.png/220px-Chlorostilbon_bracei.png,wide
Pteropus brunneus,Percy Island flying fox,100,149,1870,1870 CE,Mammalia,Chiroptera,Pteropodidae,Percy Island,https://en.wikipedia.org/wiki/Dusky_flying_fox,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Pteropus.jpg/220px-Pteropus.jpg,tall
Leiocephalus eremitus,Navassa Curlytail Lizard,100,151,1868,1868 CE,Reptilia,Squamata,Leiocephalidae,Navassa Island,https://en.wikipedia.org/wiki/Navassa_curly-tailed_lizard,,,
Navassa curly-tailed lizard,Navassa curly-tailed lizard,100,151,1868,1868 CE,Reptilia,Squamata,Leiocephalidae,"Navassa Island, U.S.",https://en.wikipedia.org/wiki/Navassa_curly-tailed_lizard,,,
Pteropus subniger,Small Mauritian flying fox,100,155,1864,1864 CE,Mammalia,Chiroptera,Pteropodidae,Réunion and Mauritius,https://en.wikipedia.org/wiki/Lesser_Mascarene_flying_fox,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Pteropus_subniger.jpg/180px-Pteropus_subniger.jpg,wide
Ara tricolor,Cuban macaw,100,159,1860,1860 CE,Aves,Psittaciformes,Psittacidae,Cuba,https://en.wikipedia.org/wiki/Cuban_macaw,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/A._tricolor.jpg/220px-A._tricolor.jpg,tall
Conilurus albipes,White-footed rabbit-rat,100,159,1860,1860 CE,Mammalia,Rodentia,Muridae,"Australia, East Coast",https://en.wikipedia.org/wiki/White-footed_rabbit-rat,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Conilurus_albipes_-_Gould.jpg/360px-Conilurus_albipes_-_Gould.jpg,wide
Neovison macrodon,Sea mink,100,159,1860,1860 CE,Mammalia,Carnivora,Mustelidae,North America,https://en.wikipedia.org/wiki/Sea_mink,https://www.iucnredlist.org/species/40784/45204492,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/The_Canadian_field-naturalist_%281988%29_%2820332897078%29.jpg/320px-The_Canadian_field-naturalist_%281988%29_%2820332897078%29.jpg,wide
Pinguinus impennis,Great auk,100,167,1852,1852 CE,Aves,Charadriiformes,Alcidae,North Atlantic,https://en.wikipedia.org/wiki/Great_auk,https://www.iucnredlist.org/species/22694856/93472944,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Great_Auk_%28Pinguinis_impennis%29_specimen%2C_Kelvingrove%2C_Glasgow_-_geograph.org.uk_-_1108249.jpg/160px-Great_Auk_%28Pinguinis_impennis%29_specimen%2C_Kelvingrove%2C_Glasgow_-_geograph.org.uk_-_1108249.jpg,tall
Eudorcas rufina,Red gazelle,100,169,1850,1850 CE,Mammalia,Artiodactyla,Bovidae,Algeria,https://en.wikipedia.org/wiki/Red_gazelle,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Eudorcas_rufina.jpg/260px-Eudorcas_rufina.jpg,tall
Phalacrocorax perspicillatus,Spectacled cormorant,100,169,1850,1850 CE,Aves,Suliformes,Phalacrocoracidae,Bering Island,https://en.wikipedia.org/wiki/Spectacled_cormorant,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/ExtbPallusCormorantovw.jpg/220px-ExtbPallusCormorantovw.jpg,tall
Chelonoidis nigra,Floreanna Island Tortoise,100,173,1846,1846 CE,Reptilia,Testudines,Testudinidae,Floreanna Island,https://en.wikipedia.org/wiki/List_of_species_of_Gal%C3%A1pagos_tortoise,,,
Notomys mordax,Darling Downs hopping mouse,100,173,1846,1846 CE,Mammalia,Rodentia,Muridae,"Australia (Darling Downs, Queensland)",https://en.wikipedia.org/wiki/Darling_Downs_hopping_mouse,,,
Notomys macrotis,Big-eared hopping mouse,100,176,1843,1843 CE,Mammalia,Rodentia,Muridae,Australia (central Western Australia),https://en.wikipedia.org/wiki/Big-eared_hopping_mouse,,,
Phelsuma gigas,Rodrigues giant day gecko,100,177,1842,1842 CE,Reptilia,Squamata,Gekkonidae,Rodrigues,https://en.wikipedia.org/wiki/Rodrigues_giant_day_gecko,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Phelsuma_gigas_-_Giant_Rodrigues_Gecko_-_extinct_2.jpg/220px-Phelsuma_gigas_-_Giant_Rodrigues_Gecko_-_extinct_2.jpg,tall
Cylindraspis indica,Réunion giant tortoise,100,179,1840,1840 CE,Reptilia,Testudines,Testudinidae,Reunion Island,https://en.wikipedia.org/wiki/R%C3%A9union_giant_tortoise,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Cylindraspis_indica_1792.png/220px-Cylindraspis_indica_1792.png,wide
Leiocephalus herminieri,Martinique Curlytail Lizard,100,189,1830,1830 CE,Reptilia,Squamata,Leiocephalidae,Martinique,https://en.wikipedia.org/wiki/Martinique_curly-tailed_lizard,,,
Martinique curly-tailed lizard,Martinique curly-tailed lizard,100,189,1830,1830 CE,Reptilia,Squamata,Leiocephalidae,Martinique,https://en.wikipedia.org/wiki/Martinique_curly-tailed_lizard,,,
Tachygyia microlepis,Tonga ground skink,100,192,1827,1827 CE,Reptilia,Squamata,Scincidae,Tonga,https://en.wikipedia.org/wiki/Tonga_ground_skink,https://www.iucnredlist.org/species/21286/2775072,https://alchetron.com/cdn/tonga-ground-skink-e4b7c297-f11a-4b69-80cf-d3aeaa2ed63-resize-750.jpeg,tall
Alectroenas nitidissimus,Mauritius blue pigeon,100,193,1826,1826 CE,Aves,Columbiformes,Columbidae,Mauritius,https://en.wikipedia.org/wiki/Mauritius_blue_pigeon,https://www.iucnredlist.org/species/22691601/93318208,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Mauritius_Blue_Pigeon_national_museum_of_scotland.JPG/183px-Mauritius_Blue_Pigeon_national_museum_of_scotland.JPG,tall
Aplonis mavornata,Mauke starling,100,194,1825,1825 CE,Aves,Passeriformes,Sturnidae,"Mauke, Cooke Islands",https://en.wikipedia.org/wiki/Mauke_starling,https://www.iucnredlist.org/species/22710499/94248417,https://avibirds.com/wp-content/uploads/2019/06/mysterious-starling.jpg,wide
Cylindraspis inepta,Saddle-backed Mauritius giant tortoise,200,219,1800,1800 CE,Reptilia,Testudines,Testudinidae,Mauritius,https://en.wikipedia.org/wiki/Saddle-backed_Mauritius_giant_tortoise,,,
Cylindraspis peltastes,Domed Rodrigues giant tortoise,200,219,1800,1800 CE,Reptilia,Testudines,Testudinidae,Rodrigues,https://en.wikipedia.org/wiki/Domed_Rodrigues_giant_tortoise,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Cylindraspis_peltastes_1770.png/220px-Cylindraspis_peltastes_1770.png,wide
Cylindraspis vosmaeri,Saddle-backed Rodrigues giant tortoise,200,219,1800,1800 CE,Reptilia,Testudines,Testudinidae,Rodrigues,https://en.wikipedia.org/wiki/Saddle-backed_Rodrigues_giant_tortoise,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Centenaire_de_la_fondation_du_Mus%C3%A9um_d%27histoire_naturelle_10_juin_1793_-_10_juin_1893_-_volume_comm%C3%A9moratif_%281893%29_%2819965220184%29.jpg/220px-Centenaire_de_la_fondation_du_Mus%C3%A9um_d%27histoire_naturelle_10_juin_1793_-_10_juin_1893_-_volume_comm%C3%A9moratif_%281893%29_%2819965220184%29.jpg,wide
Hippotragus leucophaeus,Bluebuck,200,219,1800,1800 CE,Mammalia,Artiodactyla,Bovidae,South Africa,https://en.wikipedia.org/wiki/Bluebuck,https://www.iucnredlist.org/species/10168/50188573,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/The_book_of_antelopes_%281894%29_Hippotragus_leucophaeus.png/360px-The_book_of_antelopes_%281894%29_Hippotragus_leucophaeus.png,wide
Hoplodactylus delcourti,Kawekaweau,200,219,1800,1800 CE,Reptilia,Squamata,Diplodactylidae,New Zealand,https://en.wikipedia.org/wiki/Hoplodactylus_delcourti,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Gecko_de_Delcourt_Hoplodactylus_delcourti_GLAM_MHNL_2016_3742.jpg/220px-Gecko_de_Delcourt_Hoplodactylus_delcourti_GLAM_MHNL_2016_3742.jpg,wide
Pseudomys auritus,Long-eared mouse,200,219,1800,1800 CE,Mammalia,Rodentia,Muridae,"Australia, Kangaroo Island and the Younghusband Peninsula",https://www.iucnredlist.org/species/75927882/75927900,,,
Porphyrio albus,Lord Howe swamphen,200,229,1790,1790 CE,Aves,Gruiformes,Rallidae,Lorde Howe Island,https://en.wikipedia.org/wiki/Lord_Howe_swamphen,https://www.iucnredlist.org/species/22692801/93370193,https://upload.wikimedia.org/wikipedia/commons/0/0d/PorphyrioAlbus.jpg,tall
Psittacara maugei,Puerto Rican parakeet,200,240,1779,1779 CE,Aves,Psittaciformes,Psittacidae,Puerto Rico,https://en.wikipedia.org/wiki/Puerto_Rican_parakeet,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Aratinga_chloroptera_maugei.jpg/220px-Aratinga_chloroptera_maugei.jpg,tall
Cyanoramphus ulietanus,Society parakeet,200,242,1777,1777 CE,Aves,Psittaciformes,Psittaculidae,New Zealand,https://en.wikipedia.org/wiki/Society_parakeet,https://www.iucnredlist.org/species/22728673/94993704,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Perru_disparue.jpg/181px-Perru_disparue.jpg,tall
Prolagus sardus,Sardinian pika,200,245,1774,1774 CE,Mammalia,Lagomorpha,Prolagidae,Sardinia,https://en.wikipedia.org/wiki/Sardinian_pika,https://www.iucnredlist.org/species/18338/1737167,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Prolagus3.jpg/320px-Prolagus3.jpg,wide
Prosobonia leucoptera,Tahiti sandpiper,200,246,1773,1773 CE,Aves,Charadriiformes,Scolopacidae,Tahiti,https://en.wikipedia.org/wiki/Tahiti_sandpiper,https://www.iucnredlist.org/species/22693330/93396439,https://upload.wikimedia.org/wikipedia/commons/9/9e/Prosobonia_ellisi.jpg,tall
Hydrodamalis gigas,Steller's sea cow,200,251,1768,1768 CE,Mammalia,Sirenia,Dugongidae,"Commander Islands, Bering Sea",https://en.wikipedia.org/wiki/Steller%27s_sea_cow,https://www.iucnredlist.org/species/10303/43792683,https://upload.wikimedia.org/wikipedia/commons/5/5a/Em_-_Hydrodamalis_gigas_model.jpg,wide
Cylindraspis triserrata,Domed Mauritius giant tortoise,200,284,1735,1735 CE,Reptilia,Testudines,Testudinidae,Mauritius,https://en.wikipedia.org/wiki/Domed_Mauritius_giant_tortoise,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Cylindraspis_inepta_skull.jpg/220px-Cylindraspis_inepta_skull.jpg,wide
Colaptes oceanicus,Bermuda flicker,300,319,1700,1700 CE,Aves,Piciformes,Picidae,Bermuda,https://en.wikipedia.org/wiki/Bermuda_flicker,,,
Nyctanassa carcinocatactes,Bermuda night heron,300,319,1700,1700 CE,Aves,Pelecaniformes,Ardeidae,Bermuda,https://en.wikipedia.org/wiki/Bermuda_night_heron,,,
Aepyornis maximus,Elephant bird,300,329,1690,1690 CE,Aves,Aepyornithiformes,Aepyornithidae,Madagascar,https://en.wikipedia.org/wiki/Aepyornis,,https://upload.wikimedia.org/wikipedia/commons/1/1e/Aepyornis_maximus.jpg,tall
Raphus cucullatus,Dodo,300,357,1662,1662 CE,Aves,Columbiformes,Columbidae,Mauritius,https://en.wikipedia.org/wiki/Dodo,https://www.iucnredlist.org/species/22690059/93259513,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Oxford_Dodo_display.jpg/320px-Oxford_Dodo_display.jpg,wide
Didosaurus maurtianus,Mauritian giant skink,300,369,1650,1650 CE,Reptilia,Squamata,Scincidae,Mauritius,https://en.wikipedia.org/wiki/Mauritian_giant_skink,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Leiolopisma_mauritiana_-_memorial_model_-_Ile_aux_Aigrettes.jpg/220px-Leiolopisma_mauritiana_-_memorial_model_-_Ile_aux_Aigrettes.jpg,wide
Chenonetta finschi,Finsch's duck,300,374,1645,1645 CE,Aves,Anseriformes,Anatidae,New Zealand,https://en.wikipedia.org/wiki/Finsch%27s_duck,https://www.iucnredlist.org/species/62239833/119205634,http://nzbirdsonline.org.nz/sites/all/files/47083MA_I043773.jpg,tall
Bos primigenius,Aurochs,300,392,1627,1627 CE,Mammalia,Artiodactyla,Bovidae,"Europe, Asia, North Africa",https://en.wikipedia.org/wiki/Aurochs,https://www.iucnredlist.org/species/136721/4332142,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Aurochse.jpg/185px-Aurochse.jpg,tall
Bermuteo avivorus,Bermuda hawk,400,416,1603,1603 CE,Aves,Accipitriformes,Accipitridae,Bermuda,https://en.wikipedia.org/wiki/Bermuda_hawk,,,
Megadyptes waitaha,Waitaha penguin,400,469,1550,1550 CE,Aves,Sphenisciformes,Spheniscidae,New Zealand,https://en.wikipedia.org/wiki/Waitaha_penguin,,http://nzbirdsonline.org.nz/sites/all/files/470120S.036277~v%201~Megadyptes%20waitaha%20humerus.jpg,tall
Anomalopteryx didiformis,Little bush moa,500,519,1500,1500 CE,Aves,Dinornithiformes,Emeidae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47038MA_I043763.jpg,tall
Antillothrix bernensis,Hispaniola monkey,500,519,1500,1500 CE,Mammalia,Primates,Pitheciidae,Hispaniola,https://en.wikipedia.org/wiki/Hispaniola_monkey,,https://www.researchgate.net/profile/Siobhan_Cooke/publication/45365541/figure/fig1/AS:601729519325214@1520474905982/The-Antillothrix-bernensis-skull-MHD-01-shown-in-several-views-a-right-b-left.png,wide
Bettongia pusilla,Nullarbor dwarf bettong,500,519,1500,1500 CE,Mammalia,Diprotodontia,Potoroidae,Australia,https://en.wikipedia.org/wiki/Nullarbor_dwarf_bettong,,,
Boromys offella,Oriente cave rat,500,519,1500,1500 CE,Mammalia,Rodentia,Echimyidae,Cuba,https://en.wikipedia.org/wiki/Oriente_cave_rat,,https://upload.wikimedia.org/wikipedia/commons/7/77/Boromys.offella.bmcz.jpg,wide
Boromys torrei,Torre's cave rat,500,519,1500,1500 CE,Mammalia,Rodentia,Echimyidae,Cuba,https://en.wikipedia.org/wiki/Torre%27s_cave_rat,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Boromys.torrei.bmcz.jpg,wide
Conilurus capricornensis,Capricorn rabbit rat,500,519,1500,1500 CE,Mammalia,Rodentia,Muridae,"Australia, Queensland",https://en.wikipedia.org/wiki/Capricorn_rabbit_rat,,,
Coryphomys buehleri,Buhler's rat,500,519,1500,1500 CE,Mammalia,Rodentia,Muridae,Timor,https://en.wikipedia.org/wiki/Buhler%27s_coryphomys,,,
Cryptoprocta spelea,Giant fossa,500,519,1500,1500 CE,Mammalia,Carnivora,Eupleridae,Madagascar,https://en.wikipedia.org/wiki/Giant_fossa,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Fossa_de_les_cavernes.png/180px-Fossa_de_les_cavernes.png,wide
Dusicyon avus,Dusicyon avus,500,519,1500,1500 CE,Mammalia,Carnivora,Canidae,Patagonia,https://en.wikipedia.org/wiki/Dusicyon_avus,,,
Geocapromys columbianus,Cuban coney,500,519,1500,1500 CE,Mammalia,Rodentia,Capromyidae,Cuba,https://en.wikipedia.org/wiki/Cuban_coney,,,
Hexolobodon phenax,Imposter hutia,500,519,1500,1500 CE,Mammalia,Rodentia,Capromyidae,Hispaniola,https://en.wikipedia.org/wiki/Imposter_hutia,,,
Hippopotamus lemerlei,Madagascan dwarf hippopotamus,500,519,1500,1500 CE,Mammalia,Artiodactyla,Hippopotamidae,Madagascar,https://en.wikipedia.org/wiki/Madagascan_dwarf_hippopotamus,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Hippopotamus_lemerlei_skull.jpg/150px-Hippopotamus_lemerlei_skull.jpg,wide
Isolobodon montanus,Montane hutia,500,519,1500,1500 CE,Mammalia,Rodentia,Capromyidae,Hispaniola,https://en.wikipedia.org/wiki/Montane_hutia,,,
Megaoryzomys curioi,Galápagos giant rat,500,519,1500,1500 CE,Mammalia,Rodentia,Cricetidae,"Santa Cruz Island, Galápagos",https://en.wikipedia.org/wiki/Megaoryzomys,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Megaoryzomys_curioi_skull.JPG/440px-Megaoryzomys_curioi_skull.JPG,wide
Nesophontes hypomicrus,Atalaye nesophontes,500,519,1500,1500 CE,Mammalia,Eulipotyphla,Nesophontidae,Hispaniola,https://en.wikipedia.org/wiki/Atalaye_nesophontes,,,
Nesophontes major,Greater Cuban nesophontes,500,519,1500,1500 CE,Mammalia,Eulipotyphla,Nesophontidae,Cuba,https://en.wikipedia.org/wiki/Greater_Cuban_nesophontes,,,
Nesophontes micrus,Western Cuban nesophontes,500,519,1500,1500 CE,Mammalia,Eulipotyphla,Nesophontidae,Cuba and the Isla de la Juventud,https://en.wikipedia.org/wiki/Western_Cuban_nesophontes,,,
Nesophontes paramicrus,St. Michel nesophontes,500,519,1500,1500 CE,Mammalia,Eulipotyphla,Nesophontidae,Haiti,https://en.wikipedia.org/wiki/St._Michel_nesophontes,,,
Nesophontes zamicrus,Haitian nesophontes,500,519,1500,1500 CE,Mammalia,Eulipotyphla,Nesophontidae,Haiti,https://en.wikipedia.org/wiki/Haitian_nesophontes,,,
Noronhomys vespuccii,Vespucci's rodent,500,519,1500,1500 CE,Mammalia,Rodentia,Cricetidae,Fernando de Noronha,https://en.wikipedia.org/wiki/Noronhomys,,,
Notomys robustus,Great hopping mouse,500,519,1500,1500 CE,Mammalia,Rodentia,Muridae,"Australia, Flinders and Davenport Ranges",https://en.wikipedia.org/wiki/Great_hopping_mouse,,,
Pennatomys nivalis,Nevis Rice Rat,500,519,1500,1500 CE,Mammalia,Rodentia,Cricetidae,"Lesser Antilles - Saint Eustatius, Saint Kitts, and Nevis)",https://en.wikipedia.org/wiki/Pennatomys,,,
Plagiodontia ipnaeum,Samana hutia,500,519,1500,1500 CE,Mammalia,Rodentia,Capromyidae,Hispaniola,https://en.wikipedia.org/wiki/Samana_hutia,,,
Solenodon marcanoi,Marcano's solenodon,500,519,1500,1500 CE,Mammalia,Eulipotyphla,Solenodontidae,Dominican Republic,https://en.wikipedia.org/wiki/Marcano%27s_solenodon,,,
Tyto pollens,Andros Island barn owl,500,519,1500,1500 CE,Aves,Strigiformes,Tytonidae,Bahamas,https://en.wikipedia.org/wiki/Tyto_pollens,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Tyto_pollens_hccm.jpeg/440px-Tyto_pollens_hccm.jpeg,tall
Palaeopropithecus ingens,Large Sloth Lemur,500,579,1440,1440 CE,Mammalia,Primates,Palaeopropithecidae,Madagascar,https://en.wikipedia.org/wiki/Palaeopropithecus,https://www.iucnredlist.org/species/136532/4306543,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Palaeopropithecus_ingens.jpg/181px-Palaeopropithecus_ingens.jpg,tall
Dinornis robustus,South Island giant moa,500,599,1420,1420 CE,Aves,Dinornithiformes,Notopalaeognathae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47046MA_I043758.jpg,tall
Dinornis novaezealandiae,North Island giant moa,600,619,1400,1400 CE,Aves,Dinornithiformes,Dinornithidae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47045MA_I043757.jpg,tall
Dinornis struthoides,Slender bush moa,600,619,1400,1400 CE,Aves,Dinornithiformes,Dinornithidae,New Zealand,https://en.wikipedia.org/wiki/Dinornis,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Dinornis_struthoides.jpg/170px-Dinornis_struthoides.jpg,tall
Emeus crassus,Eastern moa,600,619,1400,1400 CE,Aves,Dinornithiformes,Emeidae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47043MA_I043764.jpg,tall
Hieraaetus moorei,Haast's eagle,600,619,1400,1400 CE,Aves,Accipitriformes,Accipitridae,New Zealand,https://en.wikipedia.org/wiki/Haast%27s_eagle,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Giant_Haasts_eagle_attacking_New_Zealand_moa.jpg/600px-Giant_Haasts_eagle_attacking_New_Zealand_moa.jpg,wide
Pachyornis australis,Crested moa,600,619,1400,1400 CE,Aves,Dinornithiformes,Emeidae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47042MA_I043760.jpg,tall
Pachyornis elephantopus,Heavy-footed moa,600,619,1400,1400 CE,Aves,Dinornithiformes,Emeidae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47041MA_I043761.jpg,tall
Nesophontes,West Indies shrew,600,659,1360,1360 CE,Mammalia,Eulipotyphla,Nesophontidae,Caribbean,https://en.wikipedia.org/wiki/Nesophontes,,https://upload.wikimedia.org/wikipedia/commons/4/43/Puerto_Rican_shrew.jpg,wide
Pachyornis geranoides,Mantell's moa,600,693,1326,1326 CE,Aves,Dinornithiformes,Emeidae,New Zealand,https://en.wikipedia.org/wiki/Moa,,http://nzbirdsonline.org.nz/sites/all/files/47040MA_I043762.jpg,tall
Megalapteryx didinus,Upland Moa,600,697,1322,1322 CE,Aves,Notopalaeognathae,Dinornithiformes,New Zealand,https://en.wikipedia.org/wiki/Upland_moa,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Megalapteryx.png/170px-Megalapteryx.png,tall
Thambetochen chauliodous,Maui Nui large-billed moa-nalo,800,839,1180,1180 CE,Aves,Anseriformes,Anatidae,Hawaii,https://en.wikipedia.org/wiki/Maui_Nui_large-billed_moa-nalo,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Moa_Nalo_Maui_Nui.JPG/204px-Moa_Nalo_Maui_Nui.JPG,tall
Aegotheles novazelandiae,New Zealand owlet-nightjar,1000,1023,996,996 CE,Aves,Caprimulgiformes,Aegothelidae,New Zealand,https://en.wikipedia.org/wiki/New_Zealand_owlet-nightjar,,http://nzbirdsonline.org.nz/sites/all/files/470503MA_I043885.jpg,tall
Vini sinotoi,Sinoto's lorikeet,1000,1069,950,950 CE,Aves,Psittaciformes,Psittaculidae,Marquesas Islands,https://en.wikipedia.org/wiki/Sinoto%27s_lorikeet,,,
Vini vidivici,Conquered lorikeet,1000,1069,950,950 CE,Aves,Psittaciformes,Psittaculidae,Marquesas Islands,https://en.wikipedia.org/wiki/Conquered_lorikeet,,https://upload.wikimedia.org/wikipedia/commons/2/22/Vini_vidivici.jpg,wide
Plesiorycteropus,Malagasy aardvark,1100,1104,915,915 CE,Mammalia,Afrosoricida (sub-order),Tenrecomorpha,Madagascar,https://en.wikipedia.org/wiki/Plesiorycteropus,,https://www.itsnature.org/wp-content/uploads/2010/10/Plesiorycteropus_madagascarensis-e1287671061637.jpg,wide
Branta hylobadistes,Nēnē-nui,1100,1119,900,900 CE,Aves,Anseriformes,Anatidae,Hawaii,https://en.wikipedia.org/wiki/N%C4%93n%C4%93-nui,,,
